SV-A Report


Systems
System,System Type,Altitude Factor,Floor Area (sqft),Max People,Outside Air Ratio,Cooling Capacity (kBTU/hr),Sensible (SHR),Heating Capacity (kBTU/hr),Cooling EIR (BTU/BTU),Heating EIR (BTU/BTU),Heat Pump Supplemental Heat (kBTU/hr)
Hallway System - MASTER CA SYS,PVVT,1.0,2724.5,3.0,0.0,172.43200000000002,0.7090000000000001,-208.729,0.26899999999999996,0.24,0.0
HP for Office 3rd Floor,PVVT,1.0,327.9,2.0,0.0,17.649,0.7290000000000001,-21.365,0.26899999999999996,0.24,0.0
HP Above Lobby Sys,PVVT,1.0,227.3,1.0,0.0,25.441,0.71,-30.796999999999997,0.26899999999999996,0.24,0.0
HP Conf/TV Sys,PVVT,1.0,1619.7,81.0,0.0,173.16299999999998,0.7040000000000001,-209.614,0.26899999999999996,0.24,0.0
HP Above Kit Sys,PVVT,1.0,1500.8,31.0,0.0,165.764,0.6920000000000001,-200.658,0.26899999999999996,0.24,0.0
HP 1 Base Sys,PVVT,1.0,578.1,3.0,0.0,30.55,0.73,-36.981,0.26899999999999996,0.24,0.0
HP 2 Base Sys,PVVT,1.0,471.3,3.0,0.0,26.057,0.711,-31.541999999999998,0.26899999999999996,0.24,0.0
B-APT-08 Zn MASTER SYS,PVVT,1.0,233.7,3.0,0.0,12.58,0.7070000000000001,-15.228,0.26899999999999996,0.24,0.0
4-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,12.934000000000001,0.7290000000000001,-15.655999999999999,0.26899999999999996,0.24,0.0
4-APT-02 Zn-Sys,PVVT,1.0,393.8,3.0,0.0,20.143,0.731,-24.383000000000003,0.26899999999999996,0.24,0.0
4-APT-06 Zn-Sys,PVVT,1.0,597.6,3.0,0.0,31.963,0.735,-38.691,0.26899999999999996,0.24,0.0
B-APT-01 Zn-Sys,PVVT,1.0,387.8,3.0,0.0,21.859,0.713,-26.46,0.26899999999999996,0.24,0.0
B-APT-07 Zn-Sys,PVVT,1.0,224.4,3.0,0.0,13.267999999999999,0.718,-16.06,0.26899999999999996,0.24,0.0
2-APT-03 Zn-Sys,PVVT,1.0,657.4,3.0,0.0,55.887,0.715,-67.65100000000001,0.26899999999999996,0.24,0.0
B-APT-02 Zn-Sys,PVVT,1.0,383.1,3.0,0.0,19.817999999999998,0.7070000000000001,-23.99,0.26899999999999996,0.24,0.0
B-APT-03 Zn-Sys,PVVT,1.0,421.3,3.0,0.0,23.954,0.72,-28.996,0.26899999999999996,0.24,0.0
B-APT-06 Zn-Sys,PVVT,1.0,309.7,3.0,0.0,16.23,0.7120000000000001,-19.646,0.26899999999999996,0.24,0.0
4-APT-04 Zn-Sys,PVVT,1.0,439.0,3.0,0.0,22.377,0.731,-27.088,0.26899999999999996,0.24,0.0
2-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,20.339000000000002,0.715,-24.621,0.26899999999999996,0.24,0.0
2-APT-07 Zn-Sys,PVVT,1.0,503.4,3.0,0.0,43.178999999999995,0.715,-52.269,0.26899999999999996,0.24,0.0
3-APT-02 Zn-Sys,PVVT,1.0,548.6,3.0,0.0,30.718000000000004,0.72,-37.184,0.26899999999999996,0.24,0.0
2-APT-06 Zn-Sys,PVVT,1.0,402.6,3.0,0.0,32.772,0.711,-39.671,0.26899999999999996,0.24,0.0
3-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,13.110999999999999,0.7190000000000001,-15.870999999999999,0.26899999999999996,0.24,0.0
2-APT-01 Zn-Sys,PVVT,1.0,352.1,3.0,0.0,29.19,0.73,-35.335,0.26899999999999996,0.24,0.0
3-APT-06 Zn-Sys,PVVT,1.0,472.9,3.0,0.0,24.928,0.715,-30.175,0.26899999999999996,0.24,0.0
3-APT-01 Zn-Sys,PVVT,1.0,275.9,3.0,0.0,15.671,0.725,-18.969,0.26899999999999996,0.24,0.0
4-APT-01 Zn-Sys,PVVT,1.0,434.4,3.0,0.0,24.004,0.736,-29.057,0.26899999999999996,0.24,0.0
2-APT-02 Zn-Sys,PVVT,1.0,442.4,3.0,0.0,34.384,0.7140000000000001,-41.622,0.26899999999999996,0.24,0.0
3-APT-07 Zn-Sys,PVVT,1.0,458.5,3.0,0.0,25.601999999999997,0.7190000000000001,-30.991,0.26899999999999996,0.24,0.0
4-APT-03 Zn-Sys,PVVT,1.0,325.2,3.0,0.0,16.65,0.73,-20.155,0.26899999999999996,0.24,0.0
3-APT-04 Zn-Sys,PVVT,1.0,358.9,3.0,0.0,18.855,0.713,-22.824,0.26899999999999996,0.24,0.0
4-APT-07 Zn-Sys,PVVT,1.0,399.4,3.0,0.0,21.936,0.735,-26.553,0.26899999999999996,0.24,0.0
3-APT-03 Zn-Sys,PVVT,1.0,353.7,3.0,0.0,18.575,0.713,-22.485,0.26899999999999996,0.24,0.0
2-APT-08 Zn-Sys,PVVT,1.0,328.4,3.0,0.0,27.45,0.705,-33.228,0.26899999999999996,0.24,0.0
B-APT-04 Zn-Sys,PVVT,1.0,420.3,3.0,0.0,22.103,0.7140000000000001,-26.755,0.26899999999999996,0.24,0.0
2-APT-04 Zn-Sys,PVVT,1.0,568.7,3.0,0.0,46.36600000000001,0.7120000000000001,-56.126000000000005,0.26899999999999996,0.24,0.0
Unconditionned,SUM,1.0,4616.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elev Cooling Sys,PTAC,1.0,41.6,0.0,0.0,0.0,0.0,0.0,0.43799999999999994,0.0,0.0

Zones
System,Zone Name,Supply Flow (CFM),Exhaust Flow (CFM),Fan (kW),Minimum Flow (Frac),Outside Air Flow (CFM),Cooling Capacity (kBTU/hr),Sensible (FRAC),Extract Rate (kBTU/hr),Heating Capacity (kBTU/hr),Addition Rate (kBTU/hr),Zone Mult,W/CFM
Hallway System - MASTER CA SYS,2-HALLWAY-2 Zn,400.0,0.0,0.0,1.0,0.0,0.0,0.0,9.94,0.0,-13.4,1.0,0.0
Hallway System - MASTER CA SYS,B-HALLWAY Zn,724.0,0.0,0.0,1.0,0.0,0.0,0.0,17.99,0.0,-24.25,1.0,0.0
Hallway System - MASTER CA SYS,1-HALLWAY-1 Zn,270.0,0.0,0.0,1.0,0.0,0.0,0.0,6.69,0.0,-9.02,1.0,0.0
Hallway System - MASTER CA SYS,1-HALLWAY-2 Zn,1185.0,0.0,0.0,1.0,0.0,0.0,0.0,29.45,0.0,-39.69,1.0,0.0
Hallway System - MASTER CA SYS,2-HALLWAY-1 Zn,995.0,0.0,0.0,1.0,0.0,0.0,0.0,24.71,0.0,-33.31,1.0,0.0
Hallway System - MASTER CA SYS,2-ELEV-ROOM Zn,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.31,0.0,-1.77,1.0,0.0
Hallway System - MASTER CA SYS,3-HALLWAY-2 Zn,680.0,0.0,0.0,1.0,0.0,0.0,0.0,16.9,0.0,-22.77,1.0,0.0
Hallway System - MASTER CA SYS,3-HALLWAY-1 Zn,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.77,0.0,-1.03,1.0,0.0
Hallway System - MASTER CA SYS,4-HALLWAY Zn,770.0,0.0,0.0,1.0,0.0,0.0,0.0,19.13,0.0,-25.78,1.0,0.0
HP for Office 3rd Floor,3-OFFICE-Zn,548.0,0.0,0.0,1.0,0.0,0.0,0.0,13.61,0.0,-18.34,1.0,0.0
HP Above Lobby Sys,1-LOBBY Zn,208.0,0.0,0.0,1.0,0.0,0.0,0.0,5.17,0.0,-6.97,1.0,0.0
HP Above Lobby Sys,1-TOIL-W Zn,239.0,0.0,0.0,1.0,0.0,0.0,0.0,5.94,0.0,-8.01,1.0,0.0
HP Above Lobby Sys,1-TOIL-M Zn,240.0,0.0,0.0,1.0,0.0,0.0,0.0,5.97,0.0,-8.05,1.0,0.0
HP Above Lobby Sys,1-SECURITY Zn,68.0,0.0,0.0,1.0,0.0,0.0,0.0,1.68,0.0,-2.26,1.0,0.0
HP Conf/TV Sys,1-CONFERENCE-ROOM Zn,3441.0,0.0,0.0,1.0,0.0,0.0,0.0,85.48,0.0,-115.21,1.0,0.0
HP Conf/TV Sys,1-TV-ROOM Zn,1628.0,0.0,0.0,1.0,0.0,0.0,0.0,40.43,0.0,-54.49,1.0,0.0
HP Above Kit Sys,1-CAFETERIA Zn,2900.0,0.0,0.0,1.0,0.0,0.0,0.0,72.04,0.0,-97.1,1.0,0.0
HP Above Kit Sys,1-KITCHEN Zn,1808.0,0.0,0.0,1.0,0.0,0.0,0.0,44.9,0.0,-60.52,1.0,0.0
HP 1 Base Sys,B-OFF-1 Zn,614.0,0.0,0.0,1.0,0.0,0.0,0.0,15.26,0.0,-20.57,1.0,0.0
HP 1 Base Sys,B-RES Zn,336.0,0.0,0.0,1.0,0.0,0.0,0.0,8.35,0.0,-11.25,1.0,0.0
HP 2 Base Sys,B-OFF-2 Zn,394.0,0.0,0.0,1.0,0.0,0.0,0.0,9.79,0.0,-13.2,1.0,0.0
HP 2 Base Sys,B-OFF-07 Zn,382.0,0.0,0.0,1.0,0.0,0.0,0.0,9.5,0.0,-12.8,1.0,0.0
B-APT-08 Zn MASTER SYS,B-APT-08 Zn - MASTER APT E,371.0,0.0,0.0,1.0,0.0,0.0,0.0,9.23,0.0,-12.44,1.0,0.0
4-APT-05 Zn-Sys,4-APT-05 Zn,401.0,0.0,0.0,1.0,0.0,0.0,0.0,9.97,0.0,-13.44,1.0,0.0
4-APT-02 Zn-Sys,4-APT-02 Zn,628.0,0.0,0.0,1.0,0.0,0.0,0.0,15.6,0.0,-21.03,1.0,0.0
4-APT-06 Zn-Sys,4-APT-06 Zn,1006.0,0.0,0.0,1.0,0.0,0.0,0.0,24.99,0.0,-33.68,1.0,0.0
B-APT-01 Zn-Sys,B-APT-01 Zn,654.0,0.0,0.0,1.0,0.0,0.0,0.0,16.26,0.0,-21.91,1.0,0.0
B-APT-07 Zn-Sys,B-APT-07 Zn,401.0,0.0,0.0,1.0,0.0,0.0,0.0,9.97,0.0,-13.44,1.0,0.0
2-APT-03 Zn-Sys,2-APT-03 Zn,1680.0,0.0,0.0,1.0,0.0,0.0,0.0,41.74,0.0,-56.26,1.0,0.0
B-APT-02 Zn-Sys,B-APT-02 Zn,585.0,0.0,0.0,1.0,0.0,0.0,0.0,14.53,0.0,-19.58,1.0,0.0
B-APT-03 Zn-Sys,B-APT-03 Zn,728.0,0.0,0.0,1.0,0.0,0.0,0.0,18.09,0.0,-24.38,1.0,0.0
B-APT-06 Zn-Sys,B-APT-06 Zn,485.0,0.0,0.0,1.0,0.0,0.0,0.0,12.04,0.0,-16.23,1.0,0.0
4-APT-04 Zn-Sys,4-APT-04 Zn,698.0,0.0,0.0,1.0,0.0,0.0,0.0,17.34,0.0,-23.38,1.0,0.0
2-APT-05 Zn-Sys,2-APT-05 Zn,612.0,0.0,0.0,1.0,0.0,0.0,0.0,15.21,0.0,-20.5,1.0,0.0
2-APT-07 Zn-Sys,2-APT-07 Zn,1298.0,0.0,0.0,1.0,0.0,0.0,0.0,32.25,0.0,-43.46,1.0,0.0
3-APT-02 Zn-Sys,3-APT-02 Zn,934.0,0.0,0.0,1.0,0.0,0.0,0.0,23.21,0.0,-31.28,1.0,0.0
2-APT-06 Zn-Sys,2-APT-06 Zn,975.0,0.0,0.0,1.0,0.0,0.0,0.0,24.23,0.0,-32.66,1.0,0.0
3-APT-05 Zn-Sys,3-APT-05 Zn,398.0,0.0,0.0,1.0,0.0,0.0,0.0,9.89,0.0,-13.33,1.0,0.0
